"age";"Ca";"Ti"
13011;4.80609648950903;2.20441505742328
13011;4.90202135888189;2.06582825849634
13011;4.56376255250914;2.04068748244205
13011;4.48475394344341;2.0347805029123
13011;4.54078526801533;2.02977619166612
13011;4.49535460399484;1.74405515217914
13011;4.59064203611546;2.10766616108093
13011;4.70191262851735;1.85014366279222
13011;4.44869792071959;1.8348656373846
13011;3.9575105237368;2.11176047879115
13011;3.51995783562638;2.2928853434285
13011;3.665419221161;2.48103908416
13011;4.20753643481361;2.12478180341081
13011;4.0256478851653;2.54837263628914
13011;3.52908604498306;2.35887588590501
13011;3.31930135544538;2.21769349277374
13011;3.4327531965405;2.29699163733364
13011;3.33495853662924;2.47379939886569
13011;3.10321959858456;2.73075456232158
13011;3.26040458500096;2.47786112100786
13011;3.57253271235837;2.56570990247216
13011;3.77893461912679;2.2018690858956
13011;4.29662708672259;2.00309308942517
13011;4.38944329238757;1.93285634016331
13011;4.45928172995399;2.28675580387372
13011;4.02348498331125;2.23755909480388
13011;3.30724786436233;2.76533814882534
13011;3.35240489172912;2.70734580925738
13011;3.4629189480915;2.34328917322624
13011;3.79664894208099;2.44367707560237
13011;3.96644200106594;1.97546877920364
13011;4.01248944177815;2.13762457957232
13011;4.0005827461975;2.11089415197549
13011;4.03522104446231;1.69098484667115
13011;4.64368401111332;1.98541849735706
13011;4.72537766308937;1.53696104570588
